Punk,Ether,EtherValueUSD_M,Date
5822,8000,23.7,02/12/22
7804,4200,7.57,03/11/21
3100,4200,7.58,03/11/22
5577,2500,7.7,02/09/22
4156,2500,10.26,12/09/21
5217,2250,5.45,07/30/21
8857,2000,6.63,09/11/21
2140,1600,3.76,07/30/21
7252,1600,5.33,08/24/21
2238,1500,4.32,08/06/21
6276,1320,5.12,09/04/21
7121,1180,3.08,01/30/22
7756,1050,3.23,04/13/22
6275,1000,3.89,09/04/21
7252,1000,2.56,08/04/21
2681,900,3.07,01/06/22
8888,888,2.87,08/28/21
3831,850,2.08,07/30/21
6649,810,1.98,07/31/21
6965,800,1.54,02/19/21
